Folkemengde og endringer, etter region, tid  og  statistikkvariabel;;;;
;;;;
 ;2007;2009;2013;2017
 ;Folkemengde;Folkemengde;Folkemengde;Folkemengde
Varaldsøy (-1964);0;0;0;0
Strandebarm (-1964);0;0;0;0
Jondal;1056;1022;1046;1108
Odda;7154;7054;6988;7025
Røldal (-1963);0;0;0;0
Ullensvang (-1976);0;0;0;0
Ullensvang;3416;3351;3403;3377
Kinsarvik (1913-1963);0;0;0;0
Eidfjord;915;945;952;921
Ulvik;1137;1095;1113;1131
Granvin;977;950;904;933
Voss;13786;13868;14061;14514
Vossestrand (-1963);0;0;0;0
Evanger (-1963);0;0;0;0
Kvam;8230;8338;8584;8423
Hålandsdal (-1963);0;0;0;0
Strandvik (-1963);0;0;0;0
Fusa;3749;3791;3818;3895
Samnanger;2353;2379;2434;2488
Os (Hord.);15595;16437;18142;20152
Austevoll;4389;4417;4838;5156
Sund;5670;5899;6514;7058
Fjell;20791;21507;23277;25204
Askøy;23018;24432;26831;28821
Laksevåg (1918-1971);0;0;0;0
Fana (-1971);0;0;0;0
Arna (1964-1971);0;0;0;0
Haus (-1963);0;0;0;0
Vaksdal;4094;4110;4132;4123
Bruvik (-1963);0;0;0;0
Modalen;356;351;383;383
Osterøy;7186;7352;7674;8026
Hosanger (-1963);0;0;0;0
Hamre (-1963);0;0;0;0
Åsane (-1971);0;0;0;0
Meland;6016;6478;7347;8021
Alversund (-1963);0;0;0;0
Herdla (-1963);0;0;0;0
Øygarden;4134;4223;4563;4913
Hjelme (1910-1963);0;0;0;0
Radøy;4658;4825;5003;5128
Hordabø (1924-1963);0;0;0;0
Manger (-1963);0;0;0;0
Sæbø (1924-1963);0;0;0;0
Lindås;13594;14036;14820;15731
Austrheim;2520;2576;2833;2884
Fedje;620;596;569;587
Masfjorden;1631;1652;1696;1710
Bergen (-1971);0;0;0;0
Flora;11341;11448;11697;11999
Florø (-1963);0;0;0;0
Gulen;2406;2283;2305;2371
Solund;871;876;842;794
Hyllestad;1492;1474;1428;1438
Brekke (-1963);0;0;0;0
Lavik (-1963);0;0;0;0
Høyanger;4420;4327;4222;4190
Kyrkjebø (-1963);0;0;0;0
Vik;2835;2780;2731;2722
Balestrand;1399;1348;1337;1288
Leikanger;2199;2156;2255;2332
Sogndal;6822;6968;7477;7941
Aurland;1715;1687;1714;1787
