"Folkemengde og endringer, etter region, tid og statistikkvariabel"

"1137";0;0;0;0
"1138";0;0;0;0
"1139";0;0;0;0
"1140";0;0;0;0
"1141";2672;2790;3015;3235
"1142";3526;3888;4619;4892
"1143";0;0;0;0
"1144";527;542;528;534
"1145";793;811;865;855
"1146";9513;9712;10487;11041
"1147";0;0;0;0
"1148";0;0;0;0
"1149";38349;39354;41118;42229
"1149u";0;0;0;0
"1150";0;0;0;0
"1151";214;214;209;201
"1152";0;0;0;0
"1153";0;0;0;0
"1154";0;0;0;0
"1154u";0;0;0;0
"1155";0;0;0;0
"1156";0;0;0;0
"1157";0;0;0;0
"1158";0;0;0;0
"1159";0;0;0;0
"1160";8111;8161;8615;8828
"1201";244620;252051;267950;278556
"1211";3858;3854;4040;4135
"1212";0;0;0;0
"1213";0;0;0;0
"1214";0;0;0;0
"1215";0;0;0;0
"1216";4764;4906;5400;5656
"1217";0;0;0;0
"1218";0;0;0;0
"1219";10892;11085;11638;11806
"1220";0;0;0;0
"1221";16850;17289;18161;18821
"1222";2897;2908;2980;3189
"1223";2753;2792;2736;2847
"1224";13032;13112;13305;13241
"1225";0;0;0;0
"1226";0;0;0;0
"1227";1056;1022;1046;1108
"1228";7154;7054;6988;7025
"1229";0;0;0;0
"1230";0;0;0;0
"1231";3416;3351;3403;3377
"1231u";0;0;0;0
"1232";915;945;952;921
"1233";1137;1095;1113;1131
"1234";977;950;904;933
"1235";13786;13868;14061;14514
"1236";0;0;0;0
"1237";0;0;0;0
"1238";8230;8338;8584;8423
"1239";0;0;0;0
"1240";0;0;0;0
"1241";3749;3791;3818;3895
"1242";2353;2379;2434;2488
"1243";15595;16437;18142;20152
"1244";4389;4417;4838;5156
"1245";5670;5899;6514;7058
"1246";20791;21507;23277;25204
"1247";23018;24432;26831;28821
"1248";0;0;0;0
"1249";0;0;0;0
"1250";0;0;0;0
"1250u";0;0;0;0
"1251";4094;4110;4132;4123
"1251u";0;0;0;0
"1252";356;351;383;383
"1253";7186;7352;7674;8026
"1253u";0;0;0;0
"1254";0;0;0;0
"1255";0;0;0;0
"1256";6016;6478;7347;8021
"1257";0;0;0;0
"1258";0;0;0;0
"1259";4134;4223;4563;4913
"1259u";0;0;0;0
"1260";4658;4825;5003;5128
"1260u";0;0;0;0
"1261";0;0;0;0
"1262";0;0;0;0
"1263";13594;14036;14820;15731
"1264";2520;2576;2833;2884
"1265";620;596;569;587
"1266";1631;1652;1696;1710
"1301";0;0;0;0
"1401";11341;11448;11697;11999
"1401u";0;0;0;0
"1411";2406;2283;2305;2371
"1412";871;876;842;794
"1413";1492;1474;1428;1438
"1414";0;0;0;0
"1415";0;0;0;0
"1416";4420;4327;4222;4190
"1416u";0;0;0;0
"1417";2835;2780;2731;2722
"1418";1399;1348;1337;1288
"1419";2199;2156;2255;2332
"1420";6822;6968;7477;7941
"1421";1715;1687;1714;1787
"1422";2153;2199;2176;2159
"1423";0;0;0;0
"1424";5491;5600;5521;5363
"1425";0;0;0;0
"1426";4884;4879;5041;5151
"1427";0;0;0;0
"1428";3143;3031;3018;3065
"1429";2870;2838;2871;2862
"1430";2719;2757;2923;2966
"1431";2928;2950;3078;3049
"1432";11465;11838;12559;13009
"1433";2658;2655;2713;2848
"1434";0;0;0;0
"1435";0;0;0;0
"1436";0;0;0;0
"1437";0;0;0;0
"1438";3930;3899;3945;3847
"1439";6064;5989;6119;6031
"1439u";0;0;0;0
"1440";0;0;0;0
"1441";2911;2874;2789;2791
"1442";0;0;0;0
"1443";5848;5861;5920;6064
"1444";1201;1223;1238;1198
"1445";5723;5673;5676;5783
"1446";0;0;0;0
"1447";0;0;0;0
"1448";0;0;0;0
"1449";6706;6844;7105;7218
"1501";0;0;0;0
"1502";24254;24554;25936;26822
"1503";17094;0;0;0
"1504";41385;42317;45033;47199
"1505";0;22937;24131;24442
"1511";3536;3494;3336;3203
"1512";0;0;0;0
"1513";0;0;0;0
"1514";2526;2541;2628;2540
"1515";8321;8349;8847;8957
"1516";6841;7052;7927;8457
"1517";4675;4817;5057;5185
"1518";0;0;0;0
"1519";8317;8509;8827;9102
"1520";10162;10200;10456;10744
"1521";0;0;0;0
"1522";0;0;0;0
"1523";2088;2142;2267;2296
"1523u";0;0;0;0
"1524";1817;1769;1739;1663
"1525";4500;4533;4610;4623
"1526";984;1001;1052;1005
"1527";0;0;0;0
"1528";7467;7565;7673;7695
"1529";3668;3901;4282;4667
"1530";0;0;0;0
"1531";7538;7778;8397;9007
"1531u";0;0;0;0
"1532";6647;6873;7541;8176
"1533";0;0;0;0
"1534";8606;8694;9020;9312
"1535";6402;6478;6626;6577
"1536";0;0;0;0
"1537";0;0;0;0
"1538";0;0;0;0
"1539";7325;7376;7421;7503
"1539u";0;0;0;0
"1540";0;0;0;0
"1541";0;0;0;0
"1542";0;0;0;0
"1543";3088;3076;2995;2963
"1544";0;0;0;0
"1545";1910;1922;2010;2085
"1545u";0;0;0;0
"1546";1276;1307;1291;1246
"1547";3142;3183;3339;3547
"1547u";0;0;0;0
"1548";9131;9257;9614;9741
"1549";0;0;0;0
"1550";0;0;0;0
"1551";3365;3316;3476;3454
"1552";0;0;0;0
"1553";0;0;0;0
"1554";5367;5444;5651;5856
"1554u";0;0;0;0
"1555";0;0;0;0
"1556";5428;0;0;0
"1557";2647;2618;2557;2611
"1558";0;0;0;0
"1559";0;0;0;0
"1560";3084;3062;3116;3109
"1561";0;0;0;0
"1562";0;0;0;0
"1563";7333;7347;7205;7126
